Frequentie (Hz),Spanning (V),Fase (degrees)
301.001,0.484,41.334
301.002,0.484,41.337
301.002,0.484,41.345
301.003,0.484,41.343
301.007,0.484,41.359
302.001,0.484,41.817
302.003,0.484,41.825
302.003,0.484,41.824
302.006,0.484,41.856
302.009,0.484,41.857
303,0.485,42.287
303.001,0.485,42.296
303.002,0.485,42.3
303.003,0.485,42.311
303.755,0.485,42.17
304.001,0.485,42.763
304.002,0.485,42.765
304.003,0.485,42.773
304.004,0.485,42.779
304.998,0.485,43.205
304.999,0.485,43.212
305,0.485,43.223
305.001,0.485,43.219
305.001,0.485,43.218
305.999,0.486,43.667
306.004,0.485,43.693
306.005,0.485,43.685
306.005,0.485,43.703
306.008,0.485,43.716
306.999,0.486,44.095
306.999,0.486,44.103
307.001,0.486,44.118
307.004,0.486,44.132
307.005,0.486,44.132
307.999,0.486,44.543
307.999,0.486,44.532
307.999,0.486,44.547
308.002,0.486,44.544
308.005,0.486,44.571
308.008,0.486,44.59
308.757,0.486,44.526
308.999,0.486,44.963
309.001,0.486,44.969
309.003,0.486,44.974
309.006,0.486,45.002
309.998,0.487,45.381
309.999,0.487,45.381
310,0.487,45.381
310,0.487,45.379
310,0.487,45.39
310.997,0.487,45.781
310.998,0.487,45.789
310.999,0.487,45.787
310.999,0.487,45.791
311.001,0.487,45.796
311.998,0.487,46.183
311.998,0.487,46.181
311.999,0.487,46.187
312.002,0.487,46.207
312.002,0.487,46.198
312.997,0.487,46.573
312.998,0.487,46.57
312.998,0.487,46.578
312.999,0.487,46.582
312.999,0.487,46.594
313.997,0.487,46.969
313.998,0.487,46.956
314,0.487,46.973
314.001,0.487,46.971
314.996,0.488,47.343
314.997,0.488,47.342
314.998,0.488,47.352
314.998,0.488,47.347
315.003,0.488,47.368
315.998,0.488,47.699
315.998,0.488,47.718
315.998,0.488,47.724
315.999,0.488,47.731
316.55,0.488,47.646
316.996,0.488,48.076
316.997,0.488,48.08
316.998,0.488,48.091
317,0.488,48.098
317.996,0.488,48.44
317.997,0.488,48.44
317.998,0.488,48.446
317.998,0.488,48.439
317.998,0.488,48.448
318.996,0.489,48.784
318.998,0.489,48.811
318.998,0.489,48.804
319,0.489,48.812
319.041,0.489,48.648
319.996,0.489,49.141
319.997,0.489,49.152
319.998,0.489,49.148
319.998,0.489,49.148
319.998,0.489,49.143
320.995,0.489,49.469
320.996,0.489,49.477
320.997,0.489,49.485
320.998,0.489,49.485
321.973,0.489,49.935
321.995,0.489,49.801
321.995,0.489,49.808
321.995,0.489,49.8
321.995,0.489,49.801
321.995,0.489,49.81
321.996,0.489,49.808
321.996,0.489,49.815
321.996,0.489,49.806
321.996,0.489,49.817
321.996,0.489,49.812
321.996,0.489,49.808
321.997,0.489,49.809
321.997,0.489,49.821
321.997,0.489,49.827
321.997,0.489,49.807
321.998,0.489,49.83
321.998,0.489,49.819
321.998,0.489,49.824
321.998,0.489,49.834
321.999,0.489,49.83
322,0.489,49.833
322,0.489,49.823
322,0.489,49.829
322.851,0.489,50.185
322.995,0.489,50.138
322.996,0.489,50.136
322.996,0.489,50.135
322.998,0.489,50.142
322.998,0.489,50.129
322.998,0.489,50.147
323.994,0.49,50.441
323.995,0.49,50.463
323.996,0.49,50.45
323.997,0.49,50.461
323.999,0.49,50.481
324.994,0.49,50.751
324.994,0.49,50.776
324.995,0.49,50.78
324.999,0.49,50.811
325.995,0.49,51.086
325.997,0.49,51.102
325.997,0.49,51.1
325.998,0.49,51.109
325.999,0.49,51.125
326.994,0.49,51.396
326.996,0.49,51.404
326.998,0.49,51.419
326.999,0.49,51.422
327,0.49,51.431
327.872,0.49,51.872
327.995,0.49,51.703
327.996,0.49,51.701
327.996,0.49,51.708
327.998,0.49,51.724
328.208,0.49,51.399
328.996,0.491,52.012
328.998,0.491,52.023
329,0.491,52.037
329,0.491,52.027
329.996,0.491,52.29
329.998,0.491,52.297
329.998,0.491,52.31
329.999,0.491,52.302
330.993,0.491,52.563
330.994,0.491,52.571
330.995,0.491,52.58
330.996,0.491,52.59
330.999,0.491,52.607
331.994,0.491,52.843
331.996,0.491,52.862
331.996,0.491,52.865
331.998,0.491,52.882
332.994,0.491,53.119
332.997,0.491,53.161
